Project,Model Link - Github
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/6th Week/Binh_PhoneManagement -v2.0/SE18_PhamNgocBinh_AssetManagement.Edit_SequenceDiagram_v2.0.png
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/6th Week/Binh_PhoneManagement -v2.0/SE18_PhamNgocBinh_AssetManagement.Export_SequenceDiagram_v2.0.png
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/6th Week/Binh_PhoneManagement -v2.0/SE18_PhamNgocBinh_AssetManagement.Order_SequenceDiagram_v2.0.png
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/6th Week/Binh_PhoneManagement -v2.0/SE18_PhamNgocBinh_AssetManagement_SequenceDiagram_v2.0.png
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/6th Week/Binh_PhoneManagement -v2.0/SE18_PhamNgocBinh_PhoneManagement.Edit_SequenceDiagram_v2.0.png
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/6th Week/Binh_PhoneManagement -v2.0/SE18_PhamNgocBinh_PhoneManagement.Export_SequenceDiagram_v2.0.png
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/6th Week/Binh_PhoneManagement -v2.0/SE18_PhamNgocBinh_PhoneManagement.Import_SequenceDiagram_v2.0.png
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/6th Week/Binh_PhoneManagement -v2.0/SE18_PhamNgocBinh_PhoneManagement.Order_SequenceDiagram_v2.0.png
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/6th Week/Binh_PhoneManagement -v2.0/SE18_PhamNgocBinh_PhoneManagement_SequenceDiagram_v2.0.png
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/6th Week/Cung v2.0/SE18_VoVanCung_ProductStatistic_SequenceDiagram_v2.0.jpg
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/6th Week/Cung v2.0/SE18_VoVanCung_StaffStatistic_SequenceDiagram_v2.0.jpg
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/6th Week/Cung v2.0/SE18_VoVanCung_TotalStatistic_SequenceDiagram_v2.0.jpg
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/6th Week/Dung v2.0/SE18_PhamAnhDung_Account.Login_SequenceDiagram_v2.0.jpg
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/6th Week/Dung v2.0/SE18_PhamAnhDung_Account.Logout_SequenceDiagram_v2.0.jpg
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/6th Week/Dung v2.0/SE18_PhamAnhDung_StaffManagement.Add_SequenceDiagram_v2.0.jpg
